GRE bins,TOEFL bins,GPA bins,Accuracy,F1 Score,Model,Model Structure,Marginal Probabilities,Classification Report
3,5,5,0.94,0.7000000000000001,Fully Connected,"[[""GRE Score_cat"", ""Admit""], [""TOEFL Score_cat"", ""Admit""], [""CGPA_cat"", ""Admit""], [""Research"", ""Admit""], [""SOP"", ""Admit""], [""LOR "", ""Admit""], [""University Rating"", ""Admit""]]","{""GRE Score_cat"": [0.19423868312757203, 0.502880658436214, 0.302880658436214], ""Admit"": [0.5148370545529429, 0.48516294544705707], ""TOEFL Score_cat"": [0.0345679012345679, 0.25925925925925924, 0.2740740740740741, 0.29876543209876544, 0.13333333333333333], ""CGPA_cat"": [0.027160493827160494, 0.18518518518518517, 0.34814814814814815, 0.31851851851851853, 0.12098765432098765], ""Research"": [0.445679012345679, 0.554320987654321], ""SOP"": [0.011248285322359396, 0.05075445816186557, 0.09026063100137174, 0.1297668038408779, 0.14705075445816188, 0.18161865569272978, 0.18655692729766804, 0.11742112482853224, 0.08532235939643347], ""LOR "": [0.026234567901234566, 0.0904320987654321, 0.10030864197530864, 0.2015432098765432, 0.17191358024691358, 0.1867283950617284, 0.12253086419753087, 0.10030864197530864], ""University Rating"": [0.0691358024691358, 0.2518518518518518, 0.32839506172839505, 0.2, 0.1506172839506173]}","{""0"": {""precision"": 0.9456521739130435, ""recall"": 0.9886363636363636, ""f1-score"": 0.9666666666666666, ""support"": 88.0}, ""1"": {""precision"": 0.875, ""recall"": 0.5833333333333334, ""f1-score"": 0.7000000000000001, ""support"": 12.0}, ""accuracy"": 0.94, ""macro avg"": {""precision"": 0.9103260869565217, ""recall"": 0.7859848484848485, ""f1-score"": 0.8333333333333333, ""support"": 100.0}, ""weighted avg"": {""precision"": 0.9371739130434783, ""recall"": 0.94, ""f1-score"": 0.9346666666666666, ""support"": 100.0}}"
3,5,10,0.94,0.7000000000000001,Fully Connected,"[[""GRE Score_cat"", ""Admit""], [""TOEFL Score_cat"", ""Admit""], [""CGPA_cat"", ""Admit""], [""Research"", ""Admit""], [""SOP"", ""Admit""], [""LOR "", ""Admit""], [""University Rating"", ""Admit""]]","{""GRE Score_cat"": [0.19423868312757203, 0.502880658436214, 0.302880658436214], ""Admit"": [0.5081486402590282, 0.4918513597409718], ""TOEFL Score_cat"": [0.0345679012345679, 0.25925925925925924, 0.2740740740740741, 0.29876543209876544, 0.13333333333333333], ""CGPA_cat"": [0.003703703703703704, 0.02345679012345679, 0.06296296296296296, 0.12222222222222222, 0.16666666666666666, 0.1814814814814815, 0.15432098765432098, 0.16419753086419753, 0.0728395061728395, 0.04814814814814815], ""Research"": [0.445679012345679, 0.554320987654321], ""SOP"": [0.011248285322359396, 0.05075445816186557, 0.09026063100137174, 0.1297668038408779, 0.14705075445816188, 0.18161865569272978, 0.18655692729766804, 0.11742112482853224, 0.08532235939643347], ""LOR "": [0.026234567901234566, 0.0904320987654321, 0.10030864197530864, 0.2015432098765432, 0.17191358024691358, 0.1867283950617284, 0.12253086419753087, 0.10030864197530864], ""University Rating"": [0.0691358024691358, 0.2518518518518518, 0.32839506172839505, 0.2, 0.1506172839506173]}","{""0"": {""precision"": 0.9456521739130435, ""recall"": 0.9886363636363636, ""f1-score"": 0.9666666666666666, ""support"": 88.0}, ""1"": {""precision"": 0.875, ""recall"": 0.5833333333333334, ""f1-score"": 0.7000000000000001, ""support"": 12.0}, ""accuracy"": 0.94, ""macro avg"": {""precision"": 0.9103260869565217, ""recall"": 0.7859848484848485, ""f1-score"": 0.8333333333333333, ""support"": 100.0}, ""weighted avg"": {""precision"": 0.9371739130434783, ""recall"": 0.94, ""f1-score"": 0.9346666666666666, ""support"": 100.0}}"
3,5,3,0.95,0.7826086956521738,Fully Connected,"[[""GRE Score_cat"", ""Admit""], [""TOEFL Score_cat"", ""Admit""], [""CGPA_cat"", ""Admit""], [""Research"", ""Admit""], [""SOP"", ""Admit""], [""LOR "", ""Admit""], [""University Rating"", ""Admit""]]","{""GRE Score_cat"": [0.19423868312757203, 0.502880658436214, 0.302880658436214], ""Admit"": [0.5226553512329255, 0.47734464876707455], ""TOEFL Score_cat"": [0.0345679012345679, 0.25925925925925924, 0.2740740740740741, 0.29876543209876544, 0.13333333333333333], ""CGPA_cat"": [0.09794238683127572, 0.5720164609053497, 0.33004115226337444], ""Research"": [0.445679012345679, 0.554320987654321], ""SOP"": [0.011248285322359396, 0.05075445816186557, 0.09026063100137174, 0.1297668038408779, 0.14705075445816188, 0.18161865569272978, 0.18655692729766804, 0.11742112482853224, 0.08532235939643347], ""LOR "": [0.026234567901234566, 0.0904320987654321, 0.10030864197530864, 0.2015432098765432, 0.17191358024691358, 0.1867283950617284, 0.12253086419753087, 0.10030864197530864], ""University Rating"": [0.0691358024691358, 0.2518518518518518, 0.32839506172839505, 0.2, 0.1506172839506173]}","{""0"": {""precision"": 0.9662921348314607, ""recall"": 0.9772727272727273, ""f1-score"": 0.9717514124293786, ""support"": 88.0}, ""1"": {""precision"": 0.8181818181818182, ""recall"": 0.75, ""f1-score"": 0.7826086956521738, ""support"": 12.0}, ""accuracy"": 0.95, ""macro avg"": {""precision"": 0.8922369765066395, ""recall"": 0.8636363636363636, ""f1-score"": 0.8771800540407761, ""support"": 100.0}, ""weighted avg"": {""precision"": 0.9485188968335035, ""recall"": 0.95, ""f1-score"": 0.9490542864161139, ""support"": 100.0}}"
3,10,5,0.92,0.5555555555555556,Fully Connected,"[[""GRE Score_cat"", ""Admit""], [""TOEFL Score_cat"", ""Admit""], [""CGPA_cat"", ""Admit""], [""Research"", ""Admit""], [""SOP"", ""Admit""], [""LOR "", ""Admit""], [""University Rating"", ""Admit""]]","{""GRE Score_cat"": [0.19423868312757203, 0.502880658436214, 0.302880658436214], ""Admit"": [0.5081870170063081, 0.49181298299369197], ""TOEFL Score_cat"": [0.008641975308641974, 0.025925925925925925, 0.12222222222222222, 0.13703703703703704, 0.17901234567901234, 0.09506172839506173, 0.16666666666666666, 0.13209876543209875, 0.07037037037037037, 0.06296296296296296], ""CGPA_cat"": [0.027160493827160494, 0.18518518518518517, 0.34814814814814815, 0.31851851851851853, 0.12098765432098765], ""Research"": [0.445679012345679, 0.554320987654321], ""SOP"": [0.011248285322359396, 0.05075445816186557, 0.09026063100137174, 0.1297668038408779, 0.14705075445816188, 0.18161865569272978, 0.18655692729766804, 0.11742112482853224, 0.08532235939643347], ""LOR "": [0.026234567901234566, 0.0904320987654321, 0.10030864197530864, 0.2015432098765432, 0.17191358024691358, 0.1867283950617284, 0.12253086419753087, 0.10030864197530864], ""University Rating"": [0.0691358024691358, 0.2518518518518518, 0.32839506172839505, 0.2, 0.1506172839506173]}","{""0"": {""precision"": 0.925531914893617, ""recall"": 0.9886363636363636, ""f1-score"": 0.9560439560439561, ""support"": 88.0}, ""1"": {""precision"": 0.8333333333333334, ""recall"": 0.4166666666666667, ""f1-score"": 0.5555555555555556, ""support"": 12.0}, ""accuracy"": 0.92, ""macro avg"": {""precision"": 0.8794326241134751, ""recall"": 0.7026515151515151, ""f1-score"": 0.7557997557997558, ""support"": 100.0}, ""weighted avg"": {""precision"": 0.9144680851063829, ""recall"": 0.92, ""f1-score"": 0.907985347985348, ""support"": 100.0}}"
3,10,10,0.91,0.47058823529411764,Fully Connected,"[[""GRE Score_cat"", ""Admit""], [""TOEFL Score_cat"", ""Admit""], [""CGPA_cat"", ""Admit""], [""Research"", ""Admit""], [""SOP"", ""Admit""], [""LOR "", ""Admit""], [""University Rating"", ""Admit""]]","{""GRE Score_cat"": [0.19423868312757203, 0.502880658436214, 0.302880658436214], ""Admit"": [0.5043984165315786, 0.4956015834684215], ""TOEFL Score_cat"": [0.008641975308641974, 0.025925925925925925, 0.12222222222222222, 0.13703703703703704, 0.17901234567901234, 0.09506172839506173, 0.16666666666666666, 0.13209876543209875, 0.07037037037037037, 0.06296296296296296], ""CGPA_cat"": [0.003703703703703704, 0.02345679012345679, 0.06296296296296296, 0.12222222222222222, 0.16666666666666666, 0.1814814814814815, 0.15432098765432098, 0.16419753086419753, 0.0728395061728395, 0.04814814814814815], ""Research"": [0.445679012345679, 0.554320987654321], ""SOP"": [0.011248285322359396, 0.05075445816186557, 0.09026063100137174, 0.1297668038408779, 0.14705075445816188, 0.18161865569272978, 0.18655692729766804, 0.11742112482853224, 0.08532235939643347], ""LOR "": [0.026234567901234566, 0.0904320987654321, 0.10030864197530864, 0.2015432098765432, 0.17191358024691358, 0.1867283950617284, 0.12253086419753087, 0.10030864197530864], ""University Rating"": [0.0691358024691358, 0.2518518518518518, 0.32839506172839505, 0.2, 0.1506172839506173]}","{""0"": {""precision"": 0.9157894736842105, ""recall"": 0.9886363636363636, ""f1-score"": 0.9508196721311476, ""support"": 88.0}, ""1"": {""precision"": 0.8, ""recall"": 0.3333333333333333, ""f1-score"": 0.47058823529411764, ""support"": 12.0}, ""accuracy"": 0.91, ""macro avg"": {""precision"": 0.8578947368421053, ""recall"": 0.6609848484848485, ""f1-score"": 0.7107039537126326, ""support"": 100.0}, ""weighted avg"": {""precision"": 0.9018947368421053, ""recall"": 0.91, ""f1-score"": 0.893191899710704, ""support"": 100.0}}"
3,10,3,0.94,0.7000000000000001,Fully Connected,"[[""GRE Score_cat"", ""Admit""], [""TOEFL Score_cat"", ""Admit""], [""CGPA_cat"", ""Admit""], [""Research"", ""Admit""], [""SOP"", ""Admit""], [""LOR "", ""Admit""], [""University Rating"", ""Admit""]]","{""GRE Score_cat"": [0.19423868312757203, 0.502880658436214, 0.302880658436214], ""Admit"": [0.5131778888023001, 0.48682211119769997], ""TOEFL Score_cat"": [0.008641975308641974, 0.025925925925925925, 0.12222222222222222, 0.13703703703703704, 0.17901234567901234, 0.09506172839506173, 0.16666666666666666, 0.13209876543209875, 0.07037037037037037, 0.06296296296296296], ""CGPA_cat"": [0.09794238683127572, 0.5720164609053497, 0.33004115226337444], ""Research"": [0.445679012345679, 0.554320987654321], ""SOP"": [0.011248285322359396, 0.05075445816186557, 0.09026063100137174, 0.1297668038408779, 0.14705075445816188, 0.18161865569272978, 0.18655692729766804, 0.11742112482853224, 0.08532235939643347], ""LOR "": [0.026234567901234566, 0.0904320987654321, 0.10030864197530864, 0.2015432098765432, 0.17191358024691358, 0.1867283950617284, 0.12253086419753087, 0.10030864197530864], ""University Rating"": [0.0691358024691358, 0.2518518518518518, 0.32839506172839505, 0.2, 0.1506172839506173]}","{""0"": {""precision"": 0.9456521739130435, ""recall"": 0.9886363636363636, ""f1-score"": 0.9666666666666666, ""support"": 88.0}, ""1"": {""precision"": 0.875, ""recall"": 0.5833333333333334, ""f1-score"": 0.7000000000000001, ""support"": 12.0}, ""accuracy"": 0.94, ""macro avg"": {""precision"": 0.9103260869565217, ""recall"": 0.7859848484848485, ""f1-score"": 0.8333333333333333, ""support"": 100.0}, ""weighted avg"": {""precision"": 0.9371739130434783, ""recall"": 0.94, ""f1-score"": 0.9346666666666666, ""support"": 100.0}}"
3,20,5,0.9,0.375,Fully Connected,"[[""GRE Score_cat"", ""Admit""], [""TOEFL Score_cat"", ""Admit""], [""CGPA_cat"", ""Admit""], [""Research"", ""Admit""], [""SOP"", ""Admit""], [""LOR "", ""Admit""], [""University Rating"", ""Admit""]]","{""GRE Score_cat"": [0.19423868312757203, 0.502880658436214, 0.302880658436214], ""Admit"": [0.5050556006677118, 0.4949443993322883], ""TOEFL Score_cat"": [0.005555555555555556, 0.0030864197530864196, 0.015432098765432098, 0.010493827160493827, 0.06975308641975309, 0.05246913580246913, 0.037654320987654324, 0.09938271604938272, 0.05493827160493827, 0.12407407407407407, 0.06234567901234568, 0.03271604938271605, 0.12407407407407407, 0.04259259259259259, 0.09444444444444444, 0.037654320987654324, 0.020370370370370372, 0.05, 0.017901234567901235, 0.04506172839506173], ""CGPA_cat"": [0.027160493827160494, 0.18518518518518517, 0.34814814814814815, 0.31851851851851853, 0.12098765432098765], ""Research"": [0.445679012345679, 0.554320987654321], ""SOP"": [0.011248285322359396, 0.05075445816186557, 0.09026063100137174, 0.1297668038408779, 0.14705075445816188, 0.18161865569272978, 0.18655692729766804, 0.11742112482853224, 0.08532235939643347], ""LOR "": [0.026234567901234566, 0.0904320987654321, 0.10030864197530864, 0.2015432098765432, 0.17191358024691358, 0.1867283950617284, 0.12253086419753087, 0.10030864197530864], ""University Rating"": [0.0691358024691358, 0.2518518518518518, 0.32839506172839505, 0.2, 0.1506172839506173]}","{""0"": {""precision"": 0.90625, ""recall"": 0.9886363636363636, ""f1-score"": 0.9456521739130435, ""support"": 88.0}, ""1"": {""precision"": 0.75, ""recall"": 0.25, ""f1-score"": 0.375, ""support"": 12.0}, ""accuracy"": 0.9, ""macro avg"": {""precision"": 0.828125, ""recall"": 0.6193181818181819, ""f1-score"": 0.6603260869565217, ""support"": 100.0}, ""weighted avg"": {""precision"": 0.8875, ""recall"": 0.9, ""f1-score"": 0.8771739130434782, ""support"": 100.0}}"
3,20,10,0.89,0.26666666666666666,Fully Connected,"[[""GRE Score_cat"", ""Admit""], [""TOEFL Score_cat"", ""Admit""], [""CGPA_cat"", ""Admit""], [""Research"", ""Admit""], [""SOP"", ""Admit""], [""LOR "", ""Admit""], [""University Rating"", ""Admit""]]","{""GRE Score_cat"": [0.19423868312757203, 0.502880658436214, 0.302880658436214], ""Admit"": [0.5026904382794408, 0.4973095617205593], ""TOEFL Score_cat"": [0.005555555555555556, 0.0030864197530864196, 0.015432098765432098, 0.010493827160493827, 0.06975308641975309, 0.05246913580246913, 0.037654320987654324, 0.09938271604938272, 0.05493827160493827, 0.12407407407407407, 0.06234567901234568, 0.03271604938271605, 0.12407407407407407, 0.04259259259259259, 0.09444444444444444, 0.037654320987654324, 0.020370370370370372, 0.05, 0.017901234567901235, 0.04506172839506173], ""CGPA_cat"": [0.003703703703703704, 0.02345679012345679, 0.06296296296296296, 0.12222222222222222, 0.16666666666666666, 0.1814814814814815, 0.15432098765432098, 0.16419753086419753, 0.0728395061728395, 0.04814814814814815], ""Research"": [0.445679012345679, 0.554320987654321], ""SOP"": [0.011248285322359396, 0.05075445816186557, 0.09026063100137174, 0.1297668038408779, 0.14705075445816188, 0.18161865569272978, 0.18655692729766804, 0.11742112482853224, 0.08532235939643347], ""LOR "": [0.026234567901234566, 0.0904320987654321, 0.10030864197530864, 0.2015432098765432, 0.17191358024691358, 0.1867283950617284, 0.12253086419753087, 0.10030864197530864], ""University Rating"": [0.0691358024691358, 0.2518518518518518, 0.32839506172839505, 0.2, 0.1506172839506173]}","{""0"": {""precision"": 0.8969072164948454, ""recall"": 0.9886363636363636, ""f1-score"": 0.9405405405405405, ""support"": 88.0}, ""1"": {""precision"": 0.6666666666666666, ""recall"": 0.16666666666666666, ""f1-score"": 0.26666666666666666, ""support"": 12.0}, ""accuracy"": 0.89, ""macro avg"": {""precision"": 0.781786941580756, ""recall"": 0.5776515151515151, ""f1-score"": 0.6036036036036035, ""support"": 100.0}, ""weighted avg"": {""precision"": 0.869278350515464, ""recall"": 0.89, ""f1-score"": 0.8596756756756757, ""support"": 100.0}}"
3,20,3,0.92,0.5555555555555556,Fully Connected,"[[""GRE Score_cat"", ""Admit""], [""TOEFL Score_cat"", ""Admit""], [""CGPA_cat"", ""Admit""], [""Research"", ""Admit""], [""SOP"", ""Admit""], [""LOR "", ""Admit""], [""University Rating"", ""Admit""]]","{""GRE Score_cat"": [0.19423868312757203, 0.502880658436214, 0.302880658436214], ""Admit"": [0.5081601535969812, 0.4918398464030188], ""TOEFL Score_cat"": [0.005555555555555556, 0.0030864197530864196, 0.015432098765432098, 0.010493827160493827, 0.06975308641975309, 0.05246913580246913, 0.037654320987654324, 0.09938271604938272, 0.05493827160493827, 0.12407407407407407, 0.06234567901234568, 0.03271604938271605, 0.12407407407407407, 0.04259259259259259, 0.09444444444444444, 0.037654320987654324, 0.020370370370370372, 0.05, 0.017901234567901235, 0.04506172839506173], ""CGPA_cat"": [0.09794238683127572, 0.5720164609053497, 0.33004115226337444], ""Research"": [0.445679012345679, 0.554320987654321], ""SOP"": [0.011248285322359396, 0.05075445816186557, 0.09026063100137174, 0.1297668038408779, 0.14705075445816188, 0.18161865569272978, 0.18655692729766804, 0.11742112482853224, 0.08532235939643347], ""LOR "": [0.026234567901234566, 0.0904320987654321, 0.10030864197530864, 0.2015432098765432, 0.17191358024691358, 0.1867283950617284, 0.12253086419753087, 0.10030864197530864], ""University Rating"": [0.0691358024691358, 0.2518518518518518, 0.32839506172839505, 0.2, 0.1506172839506173]}","{""0"": {""precision"": 0.925531914893617, ""recall"": 0.9886363636363636, ""f1-score"": 0.9560439560439561, ""support"": 88.0}, ""1"": {""precision"": 0.8333333333333334, ""recall"": 0.4166666666666667, ""f1-score"": 0.5555555555555556, ""support"": 12.0}, ""accuracy"": 0.92, ""macro avg"": {""precision"": 0.8794326241134751, ""recall"": 0.7026515151515151, ""f1-score"": 0.7557997557997558, ""support"": 100.0}, ""weighted avg"": {""precision"": 0.9144680851063829, ""recall"": 0.92, ""f1-score"": 0.907985347985348, ""support"": 100.0}}"
5,5,5,0.91,0.47058823529411764,Fully Connected,"[[""GRE Score_cat"", ""Admit""], [""TOEFL Score_cat"", ""Admit""], [""CGPA_cat"", ""Admit""], [""Research"", ""Admit""], [""SOP"", ""Admit""], [""LOR "", ""Admit""], [""University Rating"", ""Admit""]]","{""GRE Score_cat"": [0.09629629629629627, 0.18765432098765428, 0.3135802469135802, 0.2864197530864197, 0.11604938271604935], ""Admit"": [0.5093844857247445, 0.49061551427525546], ""TOEFL Score_cat"": [0.0345679012345679, 0.25925925925925924, 0.2740740740740741, 0.29876543209876544, 0.13333333333333333], ""CGPA_cat"": [0.027160493827160494, 0.18518518518518517, 0.34814814814814815, 0.31851851851851853, 0.12098765432098765], ""Research"": [0.445679012345679, 0.554320987654321], ""SOP"": [0.011248285322359396, 0.05075445816186557, 0.09026063100137174, 0.1297668038408779, 0.14705075445816188, 0.18161865569272978, 0.18655692729766804, 0.11742112482853224, 0.08532235939643347], ""LOR "": [0.026234567901234566, 0.0904320987654321, 0.10030864197530864, 0.2015432098765432, 0.17191358024691358, 0.1867283950617284, 0.12253086419753087, 0.10030864197530864], ""University Rating"": [0.0691358024691358, 0.2518518518518518, 0.32839506172839505, 0.2, 0.1506172839506173]}","{""0"": {""precision"": 0.9157894736842105, ""recall"": 0.9886363636363636, ""f1-score"": 0.9508196721311476, ""support"": 88.0}, ""1"": {""precision"": 0.8, ""recall"": 0.3333333333333333, ""f1-score"": 0.47058823529411764, ""support"": 12.0}, ""accuracy"": 0.91, ""macro avg"": {""precision"": 0.8578947368421053, ""recall"": 0.6609848484848485, ""f1-score"": 0.7107039537126326, ""support"": 100.0}, ""weighted avg"": {""precision"": 0.9018947368421053, ""recall"": 0.91, ""f1-score"": 0.893191899710704, ""support"": 100.0}}"
