GRE bins,TOEFL bins,GPA bins,Accuracy,Balanced Accuracy,F1 Score,Model,Model Structure,Marginal Probabilities,Classification Report
3,5,10,0.94,0.8579545454545454,0.75,Inductive Bias BN with SMOTE,"[[""University Rating"", ""CGPA_cat""], [""CGPA_cat"", ""Final_Academics""], [""TOEFL Score_cat"", ""Non_Academic_Evaluation""], [""Non_Academic_Evaluation"", ""Final_Academics""], [""Non_Academic_Evaluation"", ""Admit""], [""GRE Score_cat"", ""Non_Academic_Evaluation""], [""Final_Academics"", ""Admit""], [""Research"", ""Admit""], [""LOR "", ""Admit""], [""SOP"", ""Admit""]]","{""University Rating"": [0.03818953323903819, 0.1371994342291372, 0.18953323903818953, 0.30834512022630833, 0.32673267326732675], ""CGPA_cat"": [0.013515637278013515, 0.04321860757504323, 0.0700927235580701, 0.09555241238409554, 0.0983812666980984, 0.08565142228508567, 0.18324689611818326, 0.22426528367122428, 0.18607575043218608], ""TOEFL Score_cat"": [0.031117397454031116, 0.1371994342291372, 0.15841584158415842, 0.33663366336633666, 0.33663366336633666], ""Non_Academic_Evaluation"": [0.01762333827945378, 0.06928209537115243, 0.14682583377700875, 0.584199364056761, 0.18206936851562414], ""GRE Score_cat"": [0.12116925978312118, 0.33616218764733613, 0.5426685525695427], ""Final_Academics"": [0.020972716612457518, 0.030953566771406225, 0.1064367949743249, 0.12597421911641518, 0.16139356740298258, 0.20062358532709096, 0.19144814436398705, 0.16219740543133565], ""Admit"": [0.5107189566759658, 0.48928104332403416], ""Research"": [0.2454031117397454, 0.7545968882602546], ""LOR "": [0.0022002200220022, 0.014930064435014928, 0.04887631620304887, 0.053119597674053116, 0.11676881973911676, 0.15354392582115353, 0.19031903190319027, 0.2129498664152129, 0.20729215778720725], ""SOP"": [0.00502907433600503, 0.02907433600502908, 0.04746188904604747, 0.07433600502907435, 0.09130913091309133, 0.1082822567971083, 0.24123840955524126, 0.2355807009272356, 0.16768819739116772]}","{""0"": {""precision"": 0.9659090909090909, ""recall"": 0.9659090909090909, ""f1-score"": 0.9659090909090909, ""support"": 88.0}, ""1"": {""precision"": 0.75, ""recall"": 0.75, ""f1-score"": 0.75, ""support"": 12.0}, ""accuracy"": 0.94, ""macro avg"": {""precision"": 0.8579545454545454, ""recall"": 0.8579545454545454, ""f1-score"": 0.8579545454545454, ""support"": 100.0}, ""weighted avg"": {""precision"": 0.94, ""recall"": 0.94, ""f1-score"": 0.94, ""support"": 100.0}}"
3,5,5,0.94,0.9299242424242424,0.7857142857142857,Inductive Bias BN with SMOTE,"[[""University Rating"", ""CGPA_cat""], [""CGPA_cat"", ""Final_Academics""], [""TOEFL Score_cat"", ""Non_Academic_Evaluation""], [""Non_Academic_Evaluation"", ""Final_Academics""], [""Non_Academic_Evaluation"", ""Admit""], [""GRE Score_cat"", ""Non_Academic_Evaluation""], [""Final_Academics"", ""Admit""], [""Research"", ""Admit""], [""LOR "", ""Admit""], [""SOP"", ""Admit""]]","{""University Rating"": [0.03818953323903819, 0.1371994342291372, 0.18953323903818953, 0.32531824611032534, 0.30975954738330974], ""CGPA_cat"": [0.014144271570014145, 0.11315417256011315, 0.19377652050919375, 0.2743988684582744, 0.4045261669024045], ""TOEFL Score_cat"": [0.03111739745403112, 0.13719943422913722, 0.15841584158415845, 0.3224893917963225, 0.35077793493635084], ""Non_Academic_Evaluation"": [0.01714350193172467, 0.06843359145800948, 0.1451934880006696, 0.5878607647072464, 0.1813686539023499], ""GRE Score_cat"": [0.12116925978312118, 0.3319189061763319, 0.5469118340405469], ""Final_Academics"": [0.028645274959770498, 0.0389488002218191, 0.15139370944988848, 0.3922644543060025, 0.3887477610625195], ""Admit"": [0.5214796429241014, 0.4785203570758987], ""Research"": [0.2454031117397454, 0.7545968882602546], ""LOR "": [0.0022002200220022005, 0.014930064435014932, 0.048876316203048886, 0.05311959767405313, 0.11676881973911679, 0.154958352978155, 0.18607575043218608, 0.1973911676881974, 0.2256797108282257], ""SOP"": [0.005029074336005029, 0.029074336005029074, 0.04746188904604746, 0.07433600502907434, 0.09130913091309131, 0.10828225679710828, 0.24406726386924404, 0.22002200220021997, 0.18041804180418042]}","{""0"": {""precision"": 0.9880952380952381, ""recall"": 0.9431818181818182, ""f1-score"": 0.9651162790697674, ""support"": 88.0}, ""1"": {""precision"": 0.6875, ""recall"": 0.9166666666666666, ""f1-score"": 0.7857142857142857, ""support"": 12.0}, ""accuracy"": 0.94, ""macro avg"": {""precision"": 0.8377976190476191, ""recall"": 0.9299242424242424, ""f1-score"": 0.8754152823920265, ""support"": 100.0}, ""weighted avg"": {""precision"": 0.9520238095238096, ""recall"": 0.94, ""f1-score"": 0.9435880398671095, ""support"": 100.0}}"
3,5,3,0.91,0.9128787878787878,0.7096774193548387,Inductive Bias BN with SMOTE,"[[""University Rating"", ""CGPA_cat""], [""CGPA_cat"", ""Final_Academics""], [""TOEFL Score_cat"", ""Non_Academic_Evaluation""], [""Non_Academic_Evaluation"", ""Final_Academics""], [""Non_Academic_Evaluation"", ""Admit""], [""GRE Score_cat"", ""Non_Academic_Evaluation""], [""Final_Academics"", ""Admit""], [""Research"", ""Admit""], [""LOR "", ""Admit""], [""SOP"", ""Admit""]]","{""University Rating"": [0.03818953323903819, 0.1371994342291372, 0.18953323903818953, 0.31117397454031115, 0.32390381895332393], ""CGPA_cat"": [0.06459217350306459, 0.3163602074493163, 0.6190476190476191], ""TOEFL Score_cat"": [0.031117397454031116, 0.1371994342291372, 0.15841584158415842, 0.3125884016973126, 0.3606789250353607], ""Non_Academic_Evaluation"": [0.01749839252013683, 0.06894405847063292, 0.14518773919483993, 0.5870121770004902, 0.18135763281390016], ""GRE Score_cat"": [0.12116925978312118, 0.3333333333333333, 0.5454974068835455], ""Final_Academics"": [0.02181868049780776, 0.09114498450767561, 0.39110187106732963, 0.49593446392718693], ""Admit"": [0.5377324168557199, 0.46226758314428], ""Research"": [0.2454031117397454, 0.7545968882602546], ""LOR "": [0.0022002200220022, 0.014930064435014928, 0.04887631620304887, 0.053119597674053116, 0.11676881973911676, 0.1493006443501493, 0.19880559484519877, 0.1775891874901776, 0.23840955524123839], ""SOP"": [0.005029074336005029, 0.029074336005029074, 0.04746188904604746, 0.07433600502907434, 0.09130913091309131, 0.10828225679710828, 0.2412384095552412, 0.22285085651422282, 0.18041804180418042]}","{""0"": {""precision"": 0.9876543209876543, ""recall"": 0.9090909090909091, ""f1-score"": 0.9467455621301774, ""support"": 88.0}, ""1"": {""precision"": 0.5789473684210527, ""recall"": 0.9166666666666666, ""f1-score"": 0.7096774193548387, ""support"": 12.0}, ""accuracy"": 0.91, ""macro avg"": {""precision"": 0.7833008447043535, ""recall"": 0.9128787878787878, ""f1-score"": 0.828211490742508, ""support"": 100.0}, ""weighted avg"": {""precision"": 0.9386094866796619, ""recall"": 0.91, ""f1-score"": 0.9182973849971368, ""support"": 100.0}}"
3,10,10,0.94,0.8579545454545454,0.75,Inductive Bias BN with SMOTE,"[[""University Rating"", ""CGPA_cat""], [""CGPA_cat"", ""Final_Academics""], [""TOEFL Score_cat"", ""Non_Academic_Evaluation""], [""Non_Academic_Evaluation"", ""Final_Academics""], [""Non_Academic_Evaluation"", ""Admit""], [""GRE Score_cat"", ""Non_Academic_Evaluation""], [""Final_Academics"", ""Admit""], [""Research"", ""Admit""], [""LOR "", ""Admit""], [""SOP"", ""Admit""]]","{""University Rating"": [0.03818953323903819, 0.1371994342291372, 0.18953323903818953, 0.33097595473833097, 0.3041018387553041], ""CGPA_cat"": [0.013515637278013514, 0.04321860757504322, 0.07009272355807009, 0.09555241238409552, 0.09838126669809838, 0.08565142228508565, 0.18607575043218608, 0.24265283671224264, 0.16485934307716485], ""TOEFL Score_cat"": [0.007779349363507779, 0.02333804809052334, 0.057284299858557285, 0.07991513437057991, 0.09971711456859972, 0.0586987270155587, 0.13083451202263083, 0.1789250353606789, 0.2567185289957567, 0.10678925035360678], ""Non_Academic_Evaluation"": [0.019366153716438496, 0.07038458780601611, 0.14377045285044, 0.6007487294506081, 0.16573007617649727], ""GRE Score_cat"": [0.12116925978312118, 0.3319189061763319, 0.5469118340405469], ""Final_Academics"": [0.020814790834502456, 0.030637804771615564, 0.10805145439294275, 0.12546076059906333, 0.16262102821283755, 0.20123068018480836, 0.20540115564705672, 0.14578232535717328], ""Admit"": [0.5058543463670248, 0.4941456536329752], ""Research"": [0.2454031117397454, 0.7545968882602546], ""LOR "": [0.0022002200220022005, 0.014930064435014932, 0.048876316203048886, 0.05311959767405313, 0.11676881973911679, 0.154958352978155, 0.20163444915920165, 0.19456231337419458, 0.21294986641521296], ""SOP"": [0.005029074336005029, 0.029074336005029074, 0.04746188904604746, 0.07433600502907434, 0.09130913091309131, 0.10828225679710828, 0.24689611818324686, 0.2426528367122426, 0.15495835297815497]}","{""0"": {""precision"": 0.9659090909090909, ""recall"": 0.9659090909090909, ""f1-score"": 0.9659090909090909, ""support"": 88.0}, ""1"": {""precision"": 0.75, ""recall"": 0.75, ""f1-score"": 0.75, ""support"": 12.0}, ""accuracy"": 0.94, ""macro avg"": {""precision"": 0.8579545454545454, ""recall"": 0.8579545454545454, ""f1-score"": 0.8579545454545454, ""support"": 100.0}, ""weighted avg"": {""precision"": 0.94, ""recall"": 0.94, ""f1-score"": 0.94, ""support"": 100.0}}"
3,10,5,0.94,0.9299242424242424,0.7857142857142857,Inductive Bias BN with SMOTE,"[[""University Rating"", ""CGPA_cat""], [""CGPA_cat"", ""Final_Academics""], [""TOEFL Score_cat"", ""Non_Academic_Evaluation""], [""Non_Academic_Evaluation"", ""Final_Academics""], [""Non_Academic_Evaluation"", ""Admit""], [""GRE Score_cat"", ""Non_Academic_Evaluation""], [""Final_Academics"", ""Admit""], [""Research"", ""Admit""], [""LOR "", ""Admit""], [""SOP"", ""Admit""]]","{""University Rating"": [0.03818953323903819, 0.1371994342291372, 0.18953323903818953, 0.3408769448373409, 0.2942008486562942], ""CGPA_cat"": [0.014144271570014145, 0.11315417256011315, 0.19377652050919375, 0.27722772277227725, 0.40169731258840163], ""TOEFL Score_cat"": [0.007779349363507779, 0.02333804809052334, 0.057284299858557285, 0.07991513437057991, 0.09971711456859972, 0.0586987270155587, 0.128005657708628, 0.1760961810466761, 0.24681753889674682, 0.12234794908062235], ""Non_Academic_Evaluation"": [0.019880054318915714, 0.0700479801048558, 0.1434398649587292, 0.6008840416927819, 0.16574805892471733], ""GRE Score_cat"": [0.12116925978312118, 0.3276756247053277, 0.5511551155115512], ""Final_Academics"": [0.028682286524504417, 0.03913479794793352, 0.1526224422456889, 0.3978435981944395, 0.3817168750874337], ""Admit"": [0.5142234168915424, 0.48577658310845767], ""Research"": [0.2454031117397454, 0.7545968882602546], ""LOR "": [0.0022002200220022005, 0.014930064435014932, 0.048876316203048886, 0.05311959767405313, 0.11676881973911679, 0.15354392582115356, 0.195976740531196, 0.21436429357221437, 0.20022002200220024], ""SOP"": [0.00502907433600503, 0.02907433600502908, 0.04746188904604747, 0.07433600502907435, 0.09130913091309133, 0.1082822567971083, 0.24831054534024832, 0.22285085651422287, 0.17334590601917338]}","{""0"": {""precision"": 0.9880952380952381, ""recall"": 0.9431818181818182, ""f1-score"": 0.9651162790697674, ""support"": 88.0}, ""1"": {""precision"": 0.6875, ""recall"": 0.9166666666666666, ""f1-score"": 0.7857142857142857, ""support"": 12.0}, ""accuracy"": 0.94, ""macro avg"": {""precision"": 0.8377976190476191, ""recall"": 0.9299242424242424, ""f1-score"": 0.8754152823920265, ""support"": 100.0}, ""weighted avg"": {""precision"": 0.9520238095238096, ""recall"": 0.94, ""f1-score"": 0.9435880398671095, ""support"": 100.0}}"
3,10,3,0.91,0.9128787878787878,0.7096774193548387,Inductive Bias BN with SMOTE,"[[""University Rating"", ""CGPA_cat""], [""CGPA_cat"", ""Final_Academics""], [""TOEFL Score_cat"", ""Non_Academic_Evaluation""], [""Non_Academic_Evaluation"", ""Final_Academics""], [""Non_Academic_Evaluation"", ""Admit""], [""GRE Score_cat"", ""Non_Academic_Evaluation""], [""Final_Academics"", ""Admit""], [""Research"", ""Admit""], [""LOR "", ""Admit""], [""SOP"", ""Admit""]]","{""University Rating"": [0.03818953323903819, 0.1371994342291372, 0.18953323903818953, 0.31541725601131543, 0.31966053748231965], ""CGPA_cat"": [0.06459217350306459, 0.3163602074493163, 0.6190476190476191], ""TOEFL Score_cat"": [0.007779349363507779, 0.02333804809052334, 0.057284299858557285, 0.07991513437057991, 0.09971711456859972, 0.0586987270155587, 0.13083451202263083, 0.1789250353606789, 0.22701555869872703, 0.1364922206506365], ""Non_Academic_Evaluation"": [0.019739861570959923, 0.07065991788724545, 0.1436919594457396, 0.5958420286663025, 0.17006623242975252], ""GRE Score_cat"": [0.12116925978312118, 0.3276756247053277, 0.5511551155115512], ""Final_Academics"": [0.022461100348210424, 0.09275959870201701, 0.3898266348315904, 0.4949526661181821], ""Admit"": [0.5371272438112272, 0.46287275618877277], ""Research"": [0.2454031117397454, 0.7545968882602546], ""LOR "": [0.0022002200220022, 0.014930064435014928, 0.04887631620304887, 0.053119597674053116, 0.11676881973911676, 0.15354392582115353, 0.20022002200220018, 0.19173345906019168, 0.21860757504321857], ""SOP"": [0.00502907433600503, 0.02907433600502908, 0.04746188904604747, 0.07433600502907435, 0.09130913091309133, 0.1082822567971083, 0.24689611818324692, 0.22426528367122428, 0.17334590601917338]}","{""0"": {""precision"": 0.9876543209876543, ""recall"": 0.9090909090909091, ""f1-score"": 0.9467455621301774, ""support"": 88.0}, ""1"": {""precision"": 0.5789473684210527, ""recall"": 0.9166666666666666, ""f1-score"": 0.7096774193548387, ""support"": 12.0}, ""accuracy"": 0.91, ""macro avg"": {""precision"": 0.7833008447043535, ""recall"": 0.9128787878787878, ""f1-score"": 0.828211490742508, ""support"": 100.0}, ""weighted avg"": {""precision"": 0.9386094866796619, ""recall"": 0.91, ""f1-score"": 0.9182973849971368, ""support"": 100.0}}"
3,20,10,0.95,0.8996212121212122,0.8,Inductive Bias BN with SMOTE,"[[""University Rating"", ""CGPA_cat""], [""CGPA_cat"", ""Final_Academics""], [""TOEFL Score_cat"", ""Non_Academic_Evaluation""], [""Non_Academic_Evaluation"", ""Final_Academics""], [""Non_Academic_Evaluation"", ""Admit""], [""GRE Score_cat"", ""Non_Academic_Evaluation""], [""Final_Academics"", ""Admit""], [""Research"", ""Admit""], [""LOR "", ""Admit""], [""SOP"", ""Admit""]]","{""University Rating"": [0.03818953323903819, 0.1371994342291372, 0.18953323903818953, 0.3352192362093352, 0.29985855728429983], ""CGPA_cat"": [0.013515637278013515, 0.04321860757504323, 0.0700927235580701, 0.09555241238409554, 0.0983812666980984, 0.08565142228508567, 0.20163444915920165, 0.25255382681125255, 0.13939965425113943], ""TOEFL Score_cat"": [0.004596888260254598, 0.003182461103253183, 0.013083451202263086, 0.010254596888260257, 0.028642149929278646, 0.028642149929278646, 0.022984441301272987, 0.05693069306930694, 0.028642149929278646, 0.07107496463932109, 0.03288543140028289, 0.025813295615275816, 0.07814710042432817, 0.05410183875530411, 0.1120933521923621, 0.06824611032531826, 0.06400282885431402, 0.15735502121640738, 0.07531824611032534, 0.06400282885431402], ""Non_Academic_Evaluation"": [0.034080353231342, 0.08143104838064116, 0.15667420083595923, 0.5644785310910718, 0.16333586646098575], ""GRE Score_cat"": [0.12116925978312118, 0.3418198962753418, 0.5370108439415371], ""Final_Academics"": [0.02402312457039007, 0.03471031807091173, 0.10961993619474668, 0.12826464245337785, 0.16065624729387576, 0.21284687042827521, 0.2061196674061228, 0.12375919358229984], ""Admit"": [0.5071572027477386, 0.4928427972522614], ""Research"": [0.2454031117397454, 0.7545968882602546], ""LOR "": [0.0022002200220022, 0.014930064435014928, 0.04887631620304887, 0.053119597674053116, 0.11676881973911676, 0.15778720729215778, 0.203048876316203, 0.2101210121012101, 0.19314788621719312], ""SOP"": [0.005029074336005029, 0.029074336005029074, 0.04746188904604746, 0.07433600502907434, 0.08989470375608989, 0.10969668395410968, 0.26386924406726386, 0.22002200220021997, 0.16061606160616063]}","{""0"": {""precision"": 0.9770114942528736, ""recall"": 0.9659090909090909, ""f1-score"": 0.9714285714285714, ""support"": 88.0}, ""1"": {""precision"": 0.7692307692307693, ""recall"": 0.8333333333333334, ""f1-score"": 0.8, ""support"": 12.0}, ""accuracy"": 0.95, ""macro avg"": {""precision"": 0.8731211317418215, ""recall"": 0.8996212121212122, ""f1-score"": 0.8857142857142857, ""support"": 100.0}, ""weighted avg"": {""precision"": 0.9520778072502211, ""recall"": 0.95, ""f1-score"": 0.9508571428571428, ""support"": 100.0}}"
3,20,5,0.92,0.918560606060606,0.7333333333333334,Inductive Bias BN with SMOTE,"[[""University Rating"", ""CGPA_cat""], [""CGPA_cat"", ""Final_Academics""], [""TOEFL Score_cat"", ""Non_Academic_Evaluation""], [""Non_Academic_Evaluation"", ""Final_Academics""], [""Non_Academic_Evaluation"", ""Admit""], [""GRE Score_cat"", ""Non_Academic_Evaluation""], [""Final_Academics"", ""Admit""], [""Research"", ""Admit""], [""LOR "", ""Admit""], [""SOP"", ""Admit""]]","{""University Rating"": [0.03818953323903819, 0.1371994342291372, 0.18953323903818953, 0.3564356435643564, 0.27864214992927866], ""CGPA_cat"": [0.014144271570014145, 0.11315417256011315, 0.19377652050919375, 0.3026874115983027, 0.37623762376237624], ""TOEFL Score_cat"": [0.004596888260254597, 0.0031824611032531826, 0.013083451202263084, 0.010254596888260255, 0.028642149929278642, 0.028642149929278642, 0.022984441301272984, 0.05693069306930693, 0.028642149929278642, 0.07107496463932107, 0.03288543140028288, 0.025813295615275813, 0.07814710042432815, 0.05268741159830269, 0.11633663366336634, 0.05268741159830269, 0.06683168316831684, 0.1601838755304102, 0.08097595473833098, 0.06541725601131541], ""Non_Academic_Evaluation"": [0.0444881095029347, 0.09160190176318757, 0.1676706549548, 0.5205563993264289, 0.17568293445264876], ""GRE Score_cat"": [0.12116925978312118, 0.3404054691183404, 0.5384252710985384], ""Final_Academics"": [0.03632244061466131, 0.04951730331090256, 0.16257979530238895, 0.39908197744940366, 0.35249848332264355], ""Admit"": [0.5128974999727879, 0.4871025000272121], ""Research"": [0.2454031117397454, 0.7545968882602546], ""LOR "": [0.0022002200220022, 0.014930064435014928, 0.04887631620304887, 0.053119597674053116, 0.11676881973911676, 0.1592016344491592, 0.19031903190319027, 0.20729215778720725, 0.20729215778720725], ""SOP"": [0.00502907433600503, 0.02907433600502908, 0.04746188904604747, 0.07433600502907435, 0.09130913091309133, 0.10686782964010688, 0.25113939965425114, 0.23275184661323278, 0.16203048876316206]}","{""0"": {""precision"": 0.9878048780487805, ""recall"": 0.9204545454545454, ""f1-score"": 0.9529411764705882, ""support"": 88.0}, ""1"": {""precision"": 0.6111111111111112, ""recall"": 0.9166666666666666, ""f1-score"": 0.7333333333333334, ""support"": 12.0}, ""accuracy"": 0.92, ""macro avg"": {""precision"": 0.7994579945799458, ""recall"": 0.918560606060606, ""f1-score"": 0.8431372549019608, ""support"": 100.0}, ""weighted avg"": {""precision"": 0.9426016260162601, ""recall"": 0.92, ""f1-score"": 0.9265882352941176, ""support"": 100.0}}"
3,20,3,0.9,0.9071969696969697,0.6874999999999999,Inductive Bias BN with SMOTE,"[[""University Rating"", ""CGPA_cat""], [""CGPA_cat"", ""Final_Academics""], [""TOEFL Score_cat"", ""Non_Academic_Evaluation""], [""Non_Academic_Evaluation"", ""Final_Academics""], [""Non_Academic_Evaluation"", ""Admit""], [""GRE Score_cat"", ""Non_Academic_Evaluation""], [""Final_Academics"", ""Admit""], [""Research"", ""Admit""], [""LOR "", ""Admit""], [""SOP"", ""Admit""]]","{""University Rating"": [0.03818953323903819, 0.1371994342291372, 0.18953323903818953, 0.3564356435643564, 0.27864214992927866], ""CGPA_cat"": [0.06459217350306459, 0.3163602074493163, 0.6190476190476192], ""TOEFL Score_cat"": [0.004596888260254597, 0.0031824611032531826, 0.013083451202263084, 0.010254596888260255, 0.028642149929278642, 0.028642149929278642, 0.022984441301272984, 0.05693069306930693, 0.028642149929278642, 0.07107496463932107, 0.03288543140028288, 0.025813295615275813, 0.07814710042432815, 0.05693069306930693, 0.11209335219236209, 0.04985855728429986, 0.07531824611032532, 0.15735502121640735, 0.08239038189533239, 0.06117397454031118], ""Non_Academic_Evaluation"": [0.044580316900095715, 0.09209186125438946, 0.16795086764699568, 0.5211859215797551, 0.17419103261876415], ""GRE Score_cat"": [0.12116925978312118, 0.34464875058934463, 0.5341819896275342], ""Final_Academics"": [0.03298126826261434, 0.10724752981429052, 0.39911324998898784, 0.46065795193410725], ""Admit"": [0.5264997304438411, 0.4735002695561588], ""Research"": [0.2454031117397454, 0.7545968882602546], ""LOR "": [0.0022002200220022, 0.014930064435014928, 0.04887631620304887, 0.053119597674053116, 0.11676881973911676, 0.15354392582115353, 0.2016344491592016, 0.2129498664152129, 0.19597674053119593], ""SOP"": [0.005029074336005029, 0.029074336005029074, 0.04746188904604746, 0.07433600502907434, 0.09130913091309131, 0.10828225679710828, 0.25679710828225677, 0.21719314788621716, 0.1705170517051705]}","{""0"": {""precision"": 0.9875, ""recall"": 0.8977272727272727, ""f1-score"": 0.9404761904761905, ""support"": 88.0}, ""1"": {""precision"": 0.55, ""recall"": 0.9166666666666666, ""f1-score"": 0.6874999999999999, ""support"": 12.0}, ""accuracy"": 0.9, ""macro avg"": {""precision"": 0.76875, ""recall"": 0.9071969696969697, ""f1-score"": 0.8139880952380951, ""support"": 100.0}, ""weighted avg"": {""precision"": 0.935, ""recall"": 0.9, ""f1-score"": 0.9101190476190476, ""support"": 100.0}}"
5,5,10,0.93,0.8522727272727273,0.7199999999999999,Inductive Bias BN with SMOTE,"[[""University Rating"", ""CGPA_cat""], [""CGPA_cat"", ""Final_Academics""], [""TOEFL Score_cat"", ""Non_Academic_Evaluation""], [""Non_Academic_Evaluation"", ""Final_Academics""], [""Non_Academic_Evaluation"", ""Admit""], [""GRE Score_cat"", ""Non_Academic_Evaluation""], [""Final_Academics"", ""Admit""], [""Research"", ""Admit""], [""LOR "", ""Admit""], [""SOP"", ""Admit""]]","{""University Rating"": [0.03818953323903819, 0.1371994342291372, 0.18953323903818953, 0.30975954738330974, 0.32531824611032534], ""CGPA_cat"": [0.013515637278013514, 0.04321860757504322, 0.07009272355807009, 0.09555241238409552, 0.09838126669809838, 0.08565142228508565, 0.18749017758918748, 0.22285085651422284, 0.18324689611818326], ""TOEFL Score_cat"": [0.031117397454031116, 0.1371994342291372, 0.15841584158415842, 0.3338048090523338, 0.33946251768033947], ""Non_Academic_Evaluation"": [0.033809914776423255, 0.07992374858497052, 0.15509342588325317, 0.5078528295043528, 0.22332008125100017], ""GRE Score_cat"": [0.06506364922206506, 0.10608203677510608, 0.173974540311174, 0.3422913719943423, 0.3125884016973126], ""Final_Academics"": [0.025092984150264397, 0.03565110153881819, 0.10405889542305956, 0.1286964163905114, 0.15641258895755814, 0.2063795415935648, 0.18633496668521962, 0.15737350526100394], ""Admit"": [0.5091764832493054, 0.49082351675069463], ""Research"": [0.2454031117397454, 0.7545968882602546], ""LOR "": [0.0022002200220022, 0.014930064435014928, 0.04887631620304887, 0.053119597674053116, 0.11676881973911676, 0.15071507150715072, 0.19456231337419452, 0.2115354392582115, 0.20729215778720725], ""SOP"": [0.005029074336005029, 0.029074336005029074, 0.04746188904604746, 0.07433600502907434, 0.09130913091309131, 0.10828225679710828, 0.25538268112525536, 0.23416627377023413, 0.15495835297815497]}","{""0"": {""precision"": 0.9655172413793104, ""recall"": 0.9545454545454546, ""f1-score"": 0.96, ""support"": 88.0}, ""1"": {""precision"": 0.6923076923076923, ""recall"": 0.75, ""f1-score"": 0.7199999999999999, ""support"": 12.0}, ""accuracy"": 0.93, ""macro avg"": {""precision"": 0.8289124668435013, ""recall"": 0.8522727272727273, ""f1-score"": 0.8399999999999999, ""support"": 100.0}, ""weighted avg"": {""precision"": 0.9327320954907162, ""recall"": 0.93, ""f1-score"": 0.9311999999999999, ""support"": 100.0}}"
